Географические координаты,Глубина землетрясений,Магнитуда,Тип грунта,Геологические структуры,История землетрясений,Активные сейсмические зоны,Распределение активностей,Глубина пластов,Тектонические движения,Сейсмогенные процессы,Интервал времени,Погодные условия,Сейсмографические данные,Эпицентры,Подготовленность,Геодинамические процессы
"66.75095382851886, 18.809405794594113",48.22402638219159,5.0,Песок,Равнина,Высокая,Нет,Равномерное,9,Вертикальные,Тектонические,4,Снег,Не доступны,Не установлены,Низкая,Активные
"10.280230652051928, 36.99584836899601",21.402398554765885,4.6,Песок,Плато,Низкая,Да,Равномерное,1,Сдвиговые,Волнообразные,59,Дождь,Доступны,Не установлены,Высокая,Пассивные
"84.77288641593778, -62.08034920064351",11.884145496296934,2.5,Песок,Равнина,Средняя,Да,Равномерное,4,Вертикальные,Тектонические,59,Дождь,Доступны,Установлены,Низкая,Активные
"11.353718168124754, 90.48645903644302",54.91681850746852,2.2,Скала,Равнина,Высокая,Нет,Неравномерное,3,Сдвиговые,Тектонические,34,Снег,Не доступны,Установлены,Низкая,Пассивные
"32.67847533261587, -114.8773966085031",43.84451658690478,1.2,Песок,Гора,Низкая,Да,Неравномерное,2,Горизонтальные,Волнообразные,45,Солнечно,Не доступны,Не установлены,Средняя,Активные
"76.33620283657002, 87.06624144860598",15.27036673092528,7.6,Песок,Равнина,Высокая,Да,Неравномерное,8,Сдвиговые,Тектонические,100,Солнечно,Не доступны,Установлены,Средняя,Активные
"1.3007042477562047, -126.42578265172133",83.29725021485706,6.6,Скала,Гора,Высокая,Да,Неравномерное,3,Вертикальные,Вулканические,64,Дождь,Доступны,Не установлены,Низкая,Пассивные
"62.71536344506469, -135.23575179018263",26.317100862968,5.0,Скала,Плато,Средняя,Да,Неравномерное,8,Вертикальные,Вулканические,61,Пасмурно,Доступны,Не установлены,Высокая,Активные
"2.53192879471811, -96.18730305905953",80.80745047828097,7.6,Глина,Ложе реки,Высокая,Нет,Равномерное,7,Вертикальные,Тектонические,5,Солнечно,Доступны,Не установлены,Низкая,Пассивные
"83.7301755320596, 38.35712351696469",16.861579887097378,7.0,Глина,Ложе реки,Высокая,Да,Неравномерное,7,Вертикальные,Волнообразные,2,Солнечно,Не доступны,Установлены,Низкая,Пассивные
"12.985954121751522, 8.306399950316433",11.152140111148272,7.8,Гравий,Гора,Низкая,Да,Неравномерное,8,Сдвиговые,Тектонические,32,Солнечно,Не доступны,Установлены,Низкая,Пассивные
"74.55956296700029, 169.1162065553986",70.27031578753876,3.2,Скала,Плато,Низкая,Да,Неравномерное,3,Горизонтальные,Вулканические,73,Пасмурно,Доступны,Не установлены,Средняя,Активные
"47.24912764441152, 152.92286333411812",66.24818550758039,3.2,Гравий,Плато,Высокая,Да,Неравномерное,4,Горизонтальные,Вулканические,35,Солнечно,Не доступны,Установлены,Низкая,Активные
"2.559270233675115, -161.52661726730298",84.10355271398888,1.3,Песок,Ложе реки,Высокая,Нет,Равномерное,9,Вертикальные,Волнообразные,43,Пасмурно,Доступны,Не установлены,Средняя,Активные
"41.38709904621254, -143.83915146310602",41.02031968571421,6.9,Глина,Плато,Низкая,Нет,Равномерное,9,Горизонтальные,Вулканические,91,Снег,Не доступны,Установлены,Средняя,Активные
"68.2557361284079, 53.70296734606259",75.68539248363288,3.9,Песок,Плато,Средняя,Нет,Неравномерное,10,Вертикальные,Тектонические,98,Пасмурно,Не доступны,Установлены,Средняя,Активные
"73.09623252963704, 79.26051204393553",67.39619875478279,5.4,Гравий,Ложе реки,Высокая,Да,Равномерное,10,Горизонтальные,Вулканические,49,Снег,Доступны,Установлены,Средняя,Активные
"63.703870134518205, -140.26878349945787",72.8109718274674,4.0,Глина,Плато,Средняя,Да,Неравномерное,8,Горизонтальные,Вулканические,12,Дождь,Доступны,Не установлены,Высокая,Активные
"43.55929154193108, -160.7857546465339",61.3409549244031,3.0,Гравий,Гора,Высокая,Нет,Равномерное,7,Вертикальные,Волнообразные,27,Солнечно,Не доступны,Не установлены,Средняя,Активные
"17.159802163261787, 140.12407693745502",26.343245059309293,6.4,Глина,Плато,Высокая,Нет,Равномерное,6,Горизонтальные,Вулканические,53,Солнечно,Не доступны,Не установлены,Средняя,Пассивные
"38.39677985866245, 48.386387782857355",79.04826624040895,4.0,Гравий,Ложе реки,Высокая,Нет,Равномерное,9,Горизонтальные,Волнообразные,34,Солнечно,Доступны,Не установлены,Высокая,Активные
"30.584520920841545, -147.15683600479207",14.39008367437728,7.7,Скала,Плато,Высокая,Да,Равномерное,4,Сдвиговые,Волнообразные,92,Пасмурно,Доступны,Установлены,Низкая,Пассивные
"65.11994673668677, 16.413182673562176",46.47132533475979,4.2,Скала,Равнина,Средняя,Да,Равномерное,2,Вертикальные,Тектонические,86,Снег,Доступны,Установлены,Средняя,Активные
"65.2784439940337, 80.6710056017854",84.63236305299482,4.6,Песок,Плато,Высокая,Да,Неравномерное,10,Вертикальные,Вулканические,100,Снег,Доступны,Установлены,Низкая,Пассивные
"29.419666789216105, 54.77637429445576",27.508272156381853,3.5,Песок,Гора,Средняя,Нет,Неравномерное,5,Сдвиговые,Волнообразные,2,Снег,Не доступны,Не установлены,Высокая,Активные
"33.052844282066665, -153.8677130261617",88.85263106154511,8.0,Скала,Плато,Средняя,Да,Равномерное,4,Вертикальные,Вулканические,73,Солнечно,Доступны,Не установлены,Высокая,Активные
"79.39620966693369, 11.378898554437086",50.59715427236548,2.9,Глина,Плато,Средняя,Да,Неравномерное,9,Сдвиговые,Тектонические,2,Солнечно,Доступны,Установлены,Средняя,Пассивные
"9.945486219465533, -174.7458817659934",45.344990765865006,1.7,Гравий,Равнина,Средняя,Да,Равномерное,6,Сдвиговые,Волнообразные,90,Пасмурно,Не доступны,Не установлены,Низкая,Активные
"81.89694424186797, 21.623608358266978",59.04973450099731,6.2,Глина,Ложе реки,Высокая,Нет,Равномерное,2,Горизонтальные,Волнообразные,88,Солнечно,Доступны,Установлены,Средняя,Пассивные
"45.65711506460775, -50.9719438403491",82.51641088937934,1.7,Скала,Равнина,Высокая,Да,Неравномерное,9,Вертикальные,Вулканические,38,Дождь,Доступны,Установлены,Низкая,Активные
"27.837321767901177, -158.93794197232975",38.50779878034979,7.2,Гравий,Равнина,Высокая,Да,Неравномерное,2,Вертикальные,Волнообразные,25,Солнечно,Не доступны,Установлены,Средняя,Пассивные
"47.420915609415445, 14.432497483178906",45.29683283598764,7.0,Песок,Равнина,Средняя,Да,Неравномерное,10,Сдвиговые,Вулканические,31,Солнечно,Не доступны,Не установлены,Низкая,Активные
"53.03218360500585, 108.61338774519987",54.424111177599706,6.9,Гравий,Равнина,Высокая,Да,Неравномерное,6,Вертикальные,Вулканические,18,Снег,Не доступны,Установлены,Низкая,Активные
"13.212412582457532, 155.24114633128056",38.41757289827232,2.2,Песок,Ложе реки,Низкая,Нет,Неравномерное,1,Сдвиговые,Тектонические,86,Солнечно,Доступны,Установлены,Высокая,Активные
"77.61564345453226, 132.27458256795086",38.911334572390615,4.7,Глина,Гора,Средняя,Да,Неравномерное,4,Горизонтальные,Вулканические,57,Дождь,Доступны,Установлены,Средняя,Пассивные
"71.04176259482031, -25.88100097294614",96.20549491930652,1.5,Глина,Ложе реки,Низкая,Да,Неравномерное,3,Вертикальные,Волнообразные,35,Пасмурно,Доступны,Установлены,Высокая,Пассивные
"46.0279942246038, -120.57765157117638",43.717917214552834,1.1,Гравий,Гора,Низкая,Нет,Неравномерное,4,Сдвиговые,Тектонические,69,Солнечно,Доступны,Установлены,Низкая,Пассивные
"78.27377862904952, -11.777687578218575",14.190080684311539,2.7,Гравий,Равнина,Высокая,Да,Неравномерное,7,Горизонтальные,Тектонические,79,Солнечно,Не доступны,Не установлены,Высокая,Пассивные
"2.364332032762894, 158.30152893404846",49.20168165328476,5.1,Глина,Плато,Низкая,Нет,Неравномерное,6,Горизонтальные,Вулканические,36,Дождь,Доступны,Не установлены,Средняя,Пассивные
"24.033344320860326, 26.93553799007296",53.1212467695569,7.1,Песок,Ложе реки,Средняя,Нет,Неравномерное,7,Горизонтальные,Волнообразные,32,Дождь,Не доступны,Установлены,Низкая,Активные
"44.10875870510458, 155.34140753988476",41.73960924555687,7.7,Глина,Плато,Низкая,Да,Равномерное,4,Горизонтальные,Волнообразные,1,Снег,Доступны,Не установлены,Низкая,Пассивные
"36.50091075322149, -78.16827262303157",60.557706612211085,6.5,Песок,Гора,Высокая,Да,Равномерное,4,Вертикальные,Волнообразные,78,Пасмурно,Доступны,Не установлены,Высокая,Активные
"22.171731914461333, 52.2203870436515",26.541304339494104,5.7,Песок,Равнина,Средняя,Да,Неравномерное,3,Горизонтальные,Волнообразные,91,Дождь,Доступны,Не установлены,Средняя,Активные
"18.53676082006706, 48.93515273204844",90.54650098738679,6.0,Скала,Равнина,Высокая,Нет,Равномерное,1,Горизонтальные,Волнообразные,43,Солнечно,Доступны,Установлены,Средняя,Активные
"65.1166723424022, 151.23226626003702",37.221638980910114,6.8,Гравий,Плато,Средняя,Да,Неравномерное,10,Сдвиговые,Тектонические,79,Дождь,Не доступны,Не установлены,Средняя,Пассивные
"49.003549544018306, 156.60047096980833",36.39899765177029,1.6,Гравий,Плато,Низкая,Да,Неравномерное,1,Сдвиговые,Вулканические,3,Снег,Не доступны,Не установлены,Средняя,Активные
"71.3846372167879, -147.57746912176125",19.59926152299312,6.6,Глина,Гора,Низкая,Да,Равномерное,6,Сдвиговые,Вулканические,71,Пасмурно,Доступны,Не установлены,Средняя,Активные
"23.856425481623596, 72.32742095555139",45.33501509501848,2.7,Песок,Гора,Средняя,Нет,Неравномерное,6,Вертикальные,Волнообразные,65,Снег,Доступны,Не установлены,Высокая,Пассивные
"73.1058512990699, -148.57793187063345",50.51366079370233,4.0,Песок,Плато,Средняя,Нет,Равномерное,1,Сдвиговые,Вулканические,49,Пасмурно,Доступны,Установлены,Высокая,Пассивные
"18.421312002430618, -172.97985234761595",42.01791983841646,3.0,Гравий,Равнина,Низкая,Да,Неравномерное,10,Вертикальные,Тектонические,43,Солнечно,Не доступны,Установлены,Средняя,Пассивные
"76.92439576457886, -56.42254583260301",59.12868010741009,6.9,Гравий,Гора,Высокая,Да,Неравномерное,9,Сдвиговые,Тектонические,4,Снег,Не доступны,Не установлены,Высокая,Активные
"8.814518353480148, 150.5761485072657",29.417999056240333,1.6,Песок,Плато,Высокая,Нет,Равномерное,8,Сдвиговые,Вулканические,73,Солнечно,Доступны,Установлены,Высокая,Пассивные
"9.62245153837084, -107.03633243941233",77.76890002883975,7.4,Скала,Плато,Высокая,Нет,Равномерное,10,Вертикальные,Волнообразные,82,Солнечно,Не доступны,Не установлены,Средняя,Активные
"8.345489907268975, -87.92242259994774",90.5673445688111,7.5,Песок,Гора,Высокая,Нет,Неравномерное,10,Сдвиговые,Тектонические,35,Пасмурно,Не доступны,Установлены,Высокая,Пассивные
"15.499422615424773, -28.950627331040096",66.27853716604618,2.9,Песок,Равнина,Низкая,Нет,Равномерное,4,Горизонтальные,Вулканические,75,Пасмурно,Не доступны,Не установлены,Средняя,Активные
"73.52626553133189, 155.80807130301326",75.62566619236348,5.2,Глина,Равнина,Высокая,Да,Равномерное,3,Сдвиговые,Тектонические,45,Солнечно,Доступны,Установлены,Высокая,Активные
"24.139312691746213, 84.10764651105126",94.40217792640739,6.4,Скала,Ложе реки,Средняя,Нет,Равномерное,2,Сдвиговые,Вулканические,77,Солнечно,Доступны,Не установлены,Низкая,Пассивные
"63.89833623377284, -146.3166775294245",74.06001497649785,7.8,Гравий,Плато,Высокая,Да,Равномерное,8,Сдвиговые,Тектонические,64,Снег,Не доступны,Установлены,Низкая,Пассивные
"39.055586394544925, -179.8819180804222",88.10818811154805,2.6,Гравий,Плато,Средняя,Да,Неравномерное,3,Горизонтальные,Тектонические,93,Снег,Не доступны,Установлены,Низкая,Пассивные
"18.61067073387303, -99.17805054074128",58.48875466491001,1.9,Гравий,Плато,Средняя,Да,Неравномерное,3,Сдвиговые,Волнообразные,63,Пасмурно,Доступны,Установлены,Средняя,Пассивные
"24.181358129966423, 98.89457003251005",79.62966991149524,5.1,Песок,Гора,Низкая,Да,Равномерное,6,Сдвиговые,Волнообразные,23,Солнечно,Доступны,Не установлены,Низкая,Активные
"9.027291358579888, -75.63655933444642",45.98915850440736,2.6,Песок,Гора,Высокая,Нет,Неравномерное,1,Сдвиговые,Тектонические,68,Солнечно,Не доступны,Не установлены,Низкая,Пассивные
"37.44926787898182, 170.95484452964558",46.555617996342825,1.6,Гравий,Равнина,Низкая,Нет,Неравномерное,6,Вертикальные,Волнообразные,70,Снег,Не доступны,Установлены,Низкая,Пассивные
"16.81067556569059, 18.39600544668923",26.948731977265126,6.8,Глина,Равнина,Низкая,Да,Равномерное,2,Вертикальные,Тектонические,55,Солнечно,Не доступны,Установлены,Низкая,Активные
"10.381814895998883, -36.49429420909439",79.67776761768069,3.8,Гравий,Ложе реки,Высокая,Да,Неравномерное,6,Сдвиговые,Тектонические,47,Солнечно,Доступны,Не установлены,Высокая,Пассивные
"6.027747651888216, -111.4533315552637",59.52258196221185,3.1,Глина,Гора,Средняя,Да,Неравномерное,2,Горизонтальные,Тектонические,12,Солнечно,Не доступны,Не установлены,Высокая,Пассивные
"27.004569549918617, -150.99305897153388",96.90782305313047,3.6,Песок,Равнина,Средняя,Нет,Неравномерное,4,Горизонтальные,Волнообразные,49,Снег,Не доступны,Не установлены,Низкая,Пассивные
"30.957434197471454, -60.54831648527713",79.87014628784773,5.4,Скала,Равнина,Высокая,Да,Неравномерное,6,Вертикальные,Волнообразные,68,Пасмурно,Доступны,Установлены,Высокая,Пассивные
"13.571421596226447, 129.34587601222535",31.778292564110615,4.0,Скала,Гора,Высокая,Да,Равномерное,3,Сдвиговые,Волнообразные,4,Снег,Доступны,Установлены,Средняя,Пассивные
"24.684307000842896, 16.918629506211403",41.291264490017845,6.7,Скала,Равнина,Низкая,Нет,Равномерное,1,Горизонтальные,Волнообразные,33,Пасмурно,Не доступны,Установлены,Низкая,Пассивные
"34.171819043774285, -114.97547880913504",28.749058989892223,5.0,Глина,Гора,Средняя,Нет,Равномерное,10,Сдвиговые,Вулканические,7,Солнечно,Доступны,Установлены,Низкая,Пассивные
"56.388608552542244, -150.53866041197958",17.48092717655125,2.3,Песок,Ложе реки,Средняя,Да,Равномерное,3,Горизонтальные,Тектонические,5,Солнечно,Не доступны,Не установлены,Средняя,Пассивные
"33.848869369321534, -64.91427831423623",82.31862563096594,2.1,Глина,Плато,Низкая,Да,Равномерное,3,Горизонтальные,Вулканические,27,Дождь,Не доступны,Не установлены,Низкая,Активные
"70.27462662686207, -75.36449804091251",41.52565019713557,5.0,Скала,Гора,Средняя,Нет,Неравномерное,5,Сдвиговые,Волнообразные,100,Дождь,Не доступны,Установлены,Высокая,Активные
"23.81252380479686, -44.314700749138666",52.74900089449371,1.9,Гравий,Ложе реки,Средняя,Да,Равномерное,5,Горизонтальные,Тектонические,12,Солнечно,Доступны,Установлены,Низкая,Пассивные
"73.89476975280928, -81.47341137668161",57.36102660194279,6.6,Скала,Ложе реки,Средняя,Нет,Неравномерное,4,Вертикальные,Тектонические,42,Снег,Доступны,Не установлены,Низкая,Пассивные
"57.53119000877319, -21.259777094354774",78.1596792871783,2.5,Песок,Плато,Средняя,Нет,Неравномерное,1,Вертикальные,Вулканические,54,Солнечно,Доступны,Не установлены,Высокая,Активные
"69.05804171420651, -67.57966613864312",26.12511173787558,4.6,Глина,Плато,Высокая,Нет,Равномерное,8,Сдвиговые,Вулканические,11,Снег,Не доступны,Не установлены,Высокая,Пассивные
"37.70173589424747, -37.45345650803142",67.14577319336405,5.8,Гравий,Ложе реки,Высокая,Да,Неравномерное,2,Сдвиговые,Волнообразные,2,Дождь,Доступны,Установлены,Низкая,Пассивные
"65.29629604354905, -163.61648460718416",54.6197581105352,2.4,Гравий,Равнина,Низкая,Нет,Неравномерное,8,Горизонтальные,Волнообразные,89,Солнечно,Доступны,Установлены,Высокая,Пассивные
"16.534373438243524, -84.06221397969415",83.9170789728201,4.8,Гравий,Гора,Низкая,Да,Неравномерное,10,Горизонтальные,Вулканические,100,Снег,Доступны,Установлены,Низкая,Активные
"87.43726716498506, 17.416383273318104",8.163341096901132,1.6,Гравий,Равнина,Высокая,Нет,Равномерное,6,Горизонтальные,Вулканические,16,Пасмурно,Не доступны,Установлены,Средняя,Пассивные
"27.995288504329054, -130.46669390086444",69.5387096060571,6.2,Песок,Ложе реки,Средняя,Нет,Неравномерное,7,Сдвиговые,Тектонические,84,Снег,Не доступны,Установлены,Низкая,Активные
"12.154452031541256, 20.687389436756234",68.23802129187156,2.6,Скала,Ложе реки,Средняя,Да,Равномерное,4,Сдвиговые,Тектонические,35,Солнечно,Доступны,Не установлены,Высокая,Пассивные
"68.34064367400947, 177.96537912591555",52.298147482459996,4.1,Песок,Плато,Высокая,Да,Неравномерное,1,Горизонтальные,Вулканические,20,Солнечно,Доступны,Установлены,Высокая,Активные
"29.95028291142783, -14.420199262672384",27.013083454850694,5.9,Песок,Равнина,Средняя,Да,Равномерное,2,Сдвиговые,Тектонические,31,Снег,Не доступны,Установлены,Средняя,Пассивные
"47.10377354571501, 90.75555979476144",92.47890320324883,3.7,Песок,Гора,Низкая,Да,Неравномерное,5,Вертикальные,Вулканические,63,Пасмурно,Не доступны,Установлены,Низкая,Пассивные
"88.89408480940817, 39.37704934330702",38.18186443518094,6.7,Глина,Ложе реки,Низкая,Нет,Равномерное,10,Сдвиговые,Волнообразные,28,Солнечно,Доступны,Установлены,Средняя,Активные
"79.1261148290084, -92.04305680607848",33.60081310509023,7.9,Скала,Равнина,Высокая,Нет,Равномерное,8,Горизонтальные,Вулканические,66,Солнечно,Доступны,Не установлены,Низкая,Активные
"68.58137853253056, 1.1356647019489117",29.589783933594568,7.9,Песок,Ложе реки,Средняя,Нет,Неравномерное,8,Сдвиговые,Вулканические,67,Солнечно,Доступны,Не установлены,Низкая,Пассивные
"74.98556251342767, -122.82781073081475",70.90131000398908,5.4,Песок,Плато,Средняя,Да,Равномерное,6,Горизонтальные,Волнообразные,14,Дождь,Не доступны,Установлены,Высокая,Активные
"16.772750993758034, 54.610107564164",34.618410355329665,3.4,Скала,Гора,Средняя,Да,Неравномерное,6,Горизонтальные,Вулканические,95,Дождь,Доступны,Установлены,Средняя,Пассивные
"29.350680307726662, -60.77309328899834",46.79862753920334,4.7,Скала,Равнина,Высокая,Нет,Неравномерное,3,Сдвиговые,Вулканические,72,Снег,Доступны,Установлены,Средняя,Пассивные
"72.79503383157945, 14.526177360850369",49.389141034476424,7.9,Глина,Равнина,Низкая,Да,Равномерное,3,Горизонтальные,Волнообразные,18,Пасмурно,Доступны,Установлены,Средняя,Пассивные
"21.031964433481626, 103.46942738496995",24.91543335090111,5.9,Глина,Плато,Высокая,Да,Неравномерное,6,Вертикальные,Волнообразные,84,Дождь,Не доступны,Не установлены,Низкая,Пассивные
"69.59719287230577, -119.73090249851913",43.158835081174836,3.8,Песок,Гора,Средняя,Да,Неравномерное,4,Горизонтальные,Тектонические,20,Пасмурно,Не доступны,Не установлены,Высокая,Пассивные
"53.53480241855081, 19.843948674251607",16.372926653917688,2.9,Песок,Равнина,Средняя,Да,Равномерное,6,Горизонтальные,Вулканические,17,Снег,Не доступны,Не установлены,Высокая,Активные
"69.08262186032135, -66.46400063732088",66.11719448104789,7.2,Гравий,Плато,Низкая,Да,Неравномерное,6,Горизонтальные,Волнообразные,23,Пасмурно,Доступны,Установлены,Низкая,Пассивные
"44.87303560156887, 138.2357245274015",42.58316957277598,5.3,Гравий,Ложе реки,Высокая,Нет,Неравномерное,8,Вертикальные,Вулканические,46,Снег,Доступны,Установлены,Средняя,Пассивные
"13.652716397823442, 146.8019183114646",81.05653119641161,5.2,Глина,Гора,Средняя,Нет,Равномерное,7,Вертикальные,Вулканические,14,Пасмурно,Не доступны,Установлены,Средняя,Активные
"58.689262772275, 2.7811617557172497",77.1894314661785,5.4,Скала,Плато,Высокая,Да,Равномерное,5,Вертикальные,Волнообразные,94,Солнечно,Доступны,Установлены,Высокая,Активные
"76.07791639612452, -173.46280926741397",61.48415560868975,7.2,Глина,Ложе реки,Средняя,Нет,Неравномерное,5,Сдвиговые,Тектонические,47,Солнечно,Доступны,Установлены,Высокая,Пассивные
"30.07962007369464, -110.52779020581609",75.01731349951629,5.0,Песок,Гора,Высокая,Нет,Равномерное,8,Горизонтальные,Вулканические,42,Снег,Не доступны,Не установлены,Средняя,Пассивные
"25.008345840271325, -153.1301762850337",30.419518837505716,4.7,Песок,Ложе реки,Средняя,Да,Равномерное,4,Горизонтальные,Вулканические,43,Солнечно,Не доступны,Установлены,Низкая,Пассивные
"38.63026951321474, 91.81481992313951",15.637693748329944,7.0,Гравий,Плато,Высокая,Нет,Неравномерное,6,Вертикальные,Вулканические,70,Снег,Не доступны,Не установлены,Низкая,Пассивные
"49.8974608537042, -53.83687933456814",61.766594081883504,1.8,Скала,Плато,Высокая,Нет,Равномерное,2,Сдвиговые,Вулканические,51,Дождь,Доступны,Не установлены,Низкая,Активные
"72.18879932904633, 150.61303927689903",89.90446588561056,2.8,Гравий,Ложе реки,Средняя,Нет,Равномерное,6,Сдвиговые,Тектонические,61,Пасмурно,Доступны,Не установлены,Низкая,Активные
"59.73636449634921, -38.122746465338565",23.108528679693144,2.7,Глина,Ложе реки,Высокая,Нет,Равномерное,8,Горизонтальные,Волнообразные,43,Солнечно,Доступны,Не установлены,Высокая,Пассивные
"29.617570767011586, 47.16223365711812",94.0280764922028,6.0,Песок,Ложе реки,Высокая,Да,Равномерное,3,Сдвиговые,Тектонические,41,Снег,Не доступны,Не установлены,Высокая,Пассивные
"33.97974072926681, 55.48797728659301",13.051281625655243,4.0,Глина,Равнина,Средняя,Да,Неравномерное,2,Вертикальные,Волнообразные,54,Солнечно,Не доступны,Установлены,Средняя,Активные
"33.55342584167903, -166.52182988196253",63.451297782301225,7.4,Гравий,Равнина,Средняя,Да,Равномерное,10,Сдвиговые,Тектонические,42,Солнечно,Доступны,Установлены,Средняя,Активные
"4.299417892911332, 6.677906479538535",65.9613080976309,4.4,Песок,Плато,Средняя,Да,Равномерное,2,Сдвиговые,Волнообразные,83,Дождь,Не доступны,Не установлены,Низкая,Пассивные
"27.095002296876306, 124.70288102470897",97.63495083705013,2.5,Гравий,Гора,Высокая,Да,Равномерное,1,Сдвиговые,Вулканические,23,Пасмурно,Доступны,Установлены,Высокая,Активные
"6.363128835328564, 110.42574948511668",25.92487810007176,2.6,Скала,Ложе реки,Средняя,Нет,Неравномерное,7,Вертикальные,Вулканические,46,Солнечно,Не доступны,Установлены,Низкая,Активные
"69.81083257508777, -42.29395243565739",21.77013318611966,2.4,Гравий,Гора,Средняя,Нет,Неравномерное,3,Сдвиговые,Волнообразные,77,Пасмурно,Доступны,Не установлены,Средняя,Активные
"25.805378877647026, -129.8070466207767",94.03998620527139,5.2,Глина,Ложе реки,Низкая,Да,Неравномерное,4,Горизонтальные,Тектонические,41,Пасмурно,Доступны,Не установлены,Высокая,Пассивные
"79.84147296706308, -46.75676061971106",65.70725553777504,4.2,Глина,Гора,Средняя,Нет,Неравномерное,6,Сдвиговые,Вулканические,83,Дождь,Доступны,Установлены,Высокая,Пассивные
"9.627438479867534, -54.77570868274573",74.71761920890727,7.8,Скала,Равнина,Средняя,Да,Равномерное,10,Сдвиговые,Вулканические,18,Дождь,Не доступны,Установлены,Высокая,Активные
"60.132537640197874, 138.30997469203965",49.452819767873414,6.9,Гравий,Равнина,Низкая,Нет,Равномерное,2,Сдвиговые,Тектонические,94,Дождь,Доступны,Не установлены,Низкая,Активные
"3.113973793306651, 33.323306128440464",69.95090958244879,4.3,Глина,Равнина,Высокая,Нет,Неравномерное,2,Сдвиговые,Волнообразные,91,Солнечно,Не доступны,Установлены,Высокая,Активные
"19.295169812403657, 129.65718557187012",15.141567184622106,5.6,Скала,Равнина,Высокая,Да,Неравномерное,5,Вертикальные,Волнообразные,84,Солнечно,Не доступны,Не установлены,Высокая,Активные
"0.6018720252291565, 99.68081673917453",98.80756346811654,3.0,Гравий,Плато,Низкая,Да,Неравномерное,4,Сдвиговые,Волнообразные,66,Снег,Доступны,Не установлены,Средняя,Пассивные
"52.26992312611716, 88.02264647868304",3.3908267264224494,7.2,Песок,Равнина,Низкая,Нет,Равномерное,4,Вертикальные,Вулканические,97,Солнечно,Не доступны,Не установлены,Высокая,Пассивные
"48.0565024492782, 178.2431973388587",15.371068013862821,4.8,Песок,Равнина,Высокая,Да,Равномерное,10,Сдвиговые,Тектонические,1,Пасмурно,Доступны,Установлены,Низкая,Активные
"61.56756539909957, 137.40598568863163",92.5479347825995,3.8,Гравий,Ложе реки,Низкая,Нет,Равномерное,7,Сдвиговые,Тектонические,10,Дождь,Не доступны,Не установлены,Средняя,Активные
"71.98839691860954, -143.22112821833883",46.514100688849965,1.5,Песок,Ложе реки,Низкая,Да,Равномерное,6,Сдвиговые,Волнообразные,42,Дождь,Доступны,Не установлены,Низкая,Активные
"76.9332949040333, -88.69787127491327",53.14226370999397,7.7,Гравий,Равнина,Высокая,Нет,Неравномерное,9,Сдвиговые,Волнообразные,73,Дождь,Не доступны,Не установлены,Средняя,Пассивные
"16.098980073341977, 39.42665917490962",72.85309690318473,5.5,Глина,Равнина,Высокая,Нет,Неравномерное,5,Сдвиговые,Тектонические,86,Пасмурно,Доступны,Установлены,Высокая,Пассивные
"79.69954552270141, -3.3339290777074666",97.57598372699637,4.8,Гравий,Плато,Низкая,Нет,Неравномерное,10,Сдвиговые,Вулканические,100,Снег,Доступны,Не установлены,Низкая,Пассивные
"14.146477363462026, 42.05687999809629",92.71021307243221,4.6,Песок,Плато,Высокая,Нет,Неравномерное,10,Вертикальные,Волнообразные,69,Пасмурно,Не доступны,Установлены,Средняя,Пассивные
"57.945547126244286, -59.300880563731525",72.79380904850515,4.4,Скала,Гора,Высокая,Нет,Неравномерное,3,Сдвиговые,Волнообразные,52,Дождь,Доступны,Установлены,Высокая,Активные
"85.18753966578227, -63.34720530894502",86.55057754573731,2.3,Песок,Равнина,Высокая,Нет,Равномерное,6,Вертикальные,Тектонические,41,Пасмурно,Доступны,Установлены,Низкая,Пассивные
"38.40682115816755, -69.72488937820738",99.0626958242877,5.2,Глина,Равнина,Высокая,Нет,Неравномерное,6,Горизонтальные,Вулканические,68,Пасмурно,Доступны,Не установлены,Низкая,Пассивные
"14.067364452505565, 102.90153905629728",87.95815397064803,3.8,Гравий,Плато,Низкая,Да,Равномерное,1,Сдвиговые,Волнообразные,14,Снег,Не доступны,Установлены,Низкая,Пассивные
"50.52893016530874, -8.10165847721538",22.057703531009583,7.0,Глина,Ложе реки,Высокая,Нет,Неравномерное,5,Горизонтальные,Волнообразные,72,Солнечно,Доступны,Не установлены,Средняя,Пассивные
"63.586875087160436, 47.083183024278696",77.5485357233121,7.2,Гравий,Равнина,Низкая,Нет,Равномерное,7,Вертикальные,Волнообразные,1,Дождь,Доступны,Не установлены,Высокая,Пассивные
"27.52522651155515, -62.63439738971387",97.19476795863538,3.8,Гравий,Плато,Низкая,Да,Равномерное,7,Вертикальные,Волнообразные,33,Снег,Доступны,Установлены,Средняя,Активные
"61.734069097749256, -92.25802963272908",22.186830008011317,1.9,Глина,Равнина,Низкая,Нет,Равномерное,3,Вертикальные,Тектонические,49,Солнечно,Доступны,Установлены,Средняя,Активные
"7.2784081851006075, 92.37370300791741",22.368519495464987,6.7,Скала,Равнина,Средняя,Да,Равномерное,8,Вертикальные,Вулканические,76,Пасмурно,Доступны,Не установлены,Высокая,Пассивные
"46.12990109740052, 47.68366645598863",79.67764445217682,6.1,Гравий,Ложе реки,Низкая,Да,Равномерное,4,Вертикальные,Волнообразные,20,Дождь,Не доступны,Установлены,Средняя,Активные
