День недели,Месяц,Время суток,Праздничные дни,Класс обслуживания,Кол-во оставшихся билетов,Направление полета,Продолжительность полета,Авиакомпания,Тип воздушного судна,Температура воздуха,Осадки,Скорость ветра,Наличие мероприятий,Наличие местных праздников,Наличие праздников выходного дня,Кол-во бронирований,Кол-во проданных билетов,Кол-во пассажиров на борту,Средняя цена билета,Рейтинг авиакомпании,Рейтинг аэропорта
Sunday,01,день,False,бизнес,71,during,4,Tucker Ltd,child,9,Снег,2,False,True,False,152,163,166,691,2,2
Tuesday,11,ночь,False,первый класс,14,one,13,"Johnson, Olson and Campbell",already,-4,Дождь,49,True,True,False,142,86,124,626,2,5
Friday,10,вечер,False,первый класс,84,arm,10,Carrillo LLC,because,32,Солнечно,29,False,False,True,188,195,141,521,5,3
Tuesday,09,вечер,True,бизнес,22,word,22,White-Jensen,story,5,Облачно,43,False,False,False,138,194,266,711,2,5
Monday,01,вечер,False,бизнес,254,sign,17,Tucker PLC,range,30,Солнечно,5,True,False,True,133,165,11,593,5,5
Tuesday,04,день,True,эконом,110,building,19,Craig-Reyes,over,20,Облачно,50,True,True,False,140,31,34,674,2,3
Sunday,08,вечер,True,бизнес,293,soldier,6,Jackson Inc,fine,16,Снег,33,True,False,False,30,39,40,441,3,1
Sunday,02,ночь,True,первый класс,196,prove,22,Carter-Garcia,authority,-13,Солнечно,37,False,True,False,86,12,150,789,1,4
Sunday,04,утро,True,бизнес,202,my,18,Stewart PLC,peace,26,Снег,18,True,False,True,149,151,246,877,4,4
Friday,06,ночь,True,эконом,201,claim,9,Garrett PLC,consumer,-5,Облачно,4,False,False,True,29,200,238,232,1,5
Sunday,08,день,False,бизнес,156,trade,21,"Peters, Patterson and Davis",camera,9,Дождь,8,True,True,False,3,110,231,357,1,5
Saturday,11,утро,True,бизнес,155,tree,22,"Ellison, Henry and Tran",fact,-15,Снег,28,False,True,False,51,196,145,309,1,1
Sunday,02,день,True,эконом,184,any,7,"Dickerson, Lynch and Wilson",similar,6,Солнечно,44,False,True,True,105,124,156,901,3,3
Thursday,07,утро,True,эконом,3,care,2,Martin-Green,crime,29,Солнечно,45,True,False,True,178,153,252,381,5,3
Saturday,08,вечер,True,первый класс,238,minute,1,Maxwell-Sanchez,rise,25,Облачно,16,False,False,True,188,87,63,436,3,5
Saturday,08,вечер,True,бизнес,102,animal,24,Thompson Inc,six,29,Облачно,29,True,False,False,173,165,107,870,4,3
Sunday,01,утро,False,бизнес,223,school,20,Delgado and Sons,take,-5,Дождь,44,True,True,False,132,172,238,784,2,5
Sunday,03,вечер,True,первый класс,220,reality,2,"Hart, Sullivan and Tucker",staff,30,Снег,4,False,True,False,172,38,192,371,1,4
Saturday,01,ночь,False,первый класс,218,us,14,"Mcfarland, Carrillo and Bowman",new,-1,Дождь,13,True,True,True,69,49,75,492,3,5
Wednesday,04,ночь,False,первый класс,176,natural,19,Dickerson and Sons,wife,-13,Дождь,38,True,False,True,41,69,63,743,2,5
Friday,02,вечер,True,эконом,63,you,22,Simmons-Brooks,reach,12,Снег,22,False,True,False,110,183,47,505,5,1
Saturday,05,день,False,первый класс,58,pattern,16,Thomas Inc,admit,13,Солнечно,49,True,False,False,51,74,249,982,4,2
Saturday,07,день,True,эконом,30,director,22,"Johnson, Brown and Harris",note,36,Снег,25,False,False,True,11,133,137,404,1,2
Sunday,03,ночь,False,эконом,98,discuss,2,"Zamora, Madden and Smith",image,5,Дождь,37,False,False,False,70,55,88,493,2,2
Sunday,10,ночь,False,эконом,101,stuff,6,Miller-Warner,response,34,Облачно,24,False,False,True,64,163,138,171,2,1
Thursday,03,вечер,False,первый класс,298,animal,11,Lucas LLC,rather,38,Дождь,47,True,True,False,54,128,19,649,4,3
Sunday,11,вечер,False,эконом,159,after,16,"Bates, Crosby and Lewis",think,-11,Облачно,31,True,False,False,134,41,218,522,4,1
Tuesday,08,утро,True,бизнес,208,fear,11,Garcia PLC,strong,14,Снег,4,True,False,False,23,136,213,823,1,5
Tuesday,03,ночь,False,эконом,157,sound,2,Jones-Davis,data,-18,Снег,28,True,False,True,133,144,46,908,1,4
Monday,02,день,False,бизнес,279,late,11,"Lawrence, Jones and Barron",center,30,Облачно,8,False,True,False,9,65,71,913,3,2
Wednesday,06,день,False,первый класс,210,possible,19,Dickerson-Hoover,participant,-8,Облачно,33,True,True,True,12,98,193,130,1,5
Sunday,10,утро,True,эконом,7,Mrs,18,Taylor Ltd,pretty,32,Солнечно,26,False,False,True,150,12,286,522,5,1
Sunday,03,утро,False,первый класс,31,my,6,"Tapia, Vaughan and Stanton",next,1,Снег,40,False,False,False,87,29,219,484,1,1
Wednesday,07,день,False,бизнес,18,whose,7,Wilson PLC,single,7,Дождь,8,True,True,True,15,54,104,635,4,2
Wednesday,03,вечер,True,первый класс,180,question,14,Miller-Jones,especially,-18,Дождь,11,True,True,False,14,65,204,875,4,2
Wednesday,08,ночь,False,эконом,55,present,9,"Holland, Rangel and Ward",respond,32,Дождь,26,True,False,True,142,55,50,821,5,4
Friday,01,утро,False,первый класс,165,cup,3,Gallegos LLC,information,15,Снег,26,False,True,False,155,164,38,518,2,4
Thursday,08,утро,False,первый класс,69,cell,7,"Mitchell, Anderson and Wolf",its,30,Облачно,9,True,True,True,188,95,85,794,4,3
Wednesday,09,ночь,True,эконом,206,place,17,Carney-Sharp,large,39,Дождь,10,True,True,False,147,165,116,597,2,1
Saturday,11,утро,True,первый класс,6,quite,9,Miller-Lopez,final,9,Дождь,31,True,True,False,0,187,213,551,2,4
Thursday,05,вечер,True,эконом,217,have,13,Knapp-Flores,concern,21,Облачно,1,False,False,True,85,124,144,564,3,3
Tuesday,07,вечер,True,первый класс,179,professional,8,"Wells, Newman and Shelton",agent,37,Дождь,36,True,True,True,49,59,137,867,4,4
Friday,09,ночь,False,эконом,269,subject,12,"Castaneda, Beck and Stuart",time,40,Снег,39,True,True,False,151,111,286,581,4,4
Monday,04,утро,False,эконом,174,audience,16,Peterson Group,next,11,Снег,38,False,False,False,53,30,22,444,1,1
Thursday,01,день,True,бизнес,265,subject,18,Moore and Sons,medical,-3,Дождь,10,True,False,False,181,114,51,314,4,2
Wednesday,11,утро,True,первый класс,71,worry,8,Duran Group,region,36,Снег,27,True,False,True,109,195,222,231,4,5
Tuesday,11,утро,False,эконом,7,former,14,"Perkins, Williams and Frazier",myself,11,Снег,32,False,True,False,114,90,108,227,5,5
Saturday,11,ночь,False,первый класс,250,everyone,3,Anderson-Thornton,amount,0,Снег,24,True,True,False,184,62,103,643,2,1
Monday,06,ночь,False,бизнес,166,drive,8,Moyer LLC,major,0,Дождь,44,False,False,True,80,4,133,532,1,4
Friday,06,ночь,True,эконом,87,only,22,Kelley PLC,something,11,Снег,43,False,True,False,152,154,219,108,2,4
Sunday,01,вечер,True,первый класс,228,herself,8,"Potter, Miller and Mcfarland",support,-17,Дождь,18,True,False,False,160,147,253,449,3,1
Wednesday,05,ночь,True,эконом,67,someone,17,Stanley Group,by,12,Солнечно,48,False,False,False,76,122,16,253,1,4
Sunday,12,утро,False,первый класс,203,oil,17,"Wilson, Willis and Gill",language,-10,Снег,41,False,False,True,7,51,245,721,3,5
Monday,05,ночь,True,бизнес,297,especially,6,Smith Ltd,no,5,Снег,26,True,False,True,116,21,202,197,2,4
Wednesday,01,утро,True,эконом,289,fine,24,Newman-Schmidt,then,-5,Солнечно,21,True,False,False,157,106,115,532,3,5
Wednesday,10,ночь,True,первый класс,160,news,1,Jimenez-Garrett,white,12,Облачно,50,True,True,False,76,117,182,838,2,5
Friday,08,утро,True,первый класс,96,subject,8,Taylor-Torres,ability,9,Облачно,18,True,True,False,10,76,128,708,2,2
Monday,12,утро,True,эконом,49,product,16,Nguyen-Richard,involve,-7,Облачно,20,False,False,False,66,54,44,300,3,4
Thursday,06,день,False,бизнес,103,meeting,5,"Robles, Mendoza and Moore",radio,-19,Облачно,7,False,False,False,187,166,190,111,2,1
Friday,12,утро,True,бизнес,289,who,17,Owens Inc,official,1,Снег,32,True,False,False,78,115,245,730,4,4
Wednesday,03,утро,False,эконом,13,civil,17,Faulkner-Perez,fly,-11,Солнечно,29,False,True,True,56,146,222,136,3,2
Friday,02,утро,False,бизнес,254,foreign,17,Simmons-Kelly,page,28,Снег,46,True,True,True,154,197,11,852,1,4
Thursday,06,ночь,True,эконом,269,participant,10,Jenkins Group,plant,-7,Дождь,16,True,True,False,45,150,238,863,4,1
Tuesday,02,вечер,False,эконом,125,building,1,"Pearson, Santos and Williams",floor,22,Солнечно,19,False,True,True,198,128,159,475,2,2
Monday,09,вечер,True,эконом,67,decide,1,Brown-Rodriguez,for,29,Солнечно,40,False,True,True,157,192,137,248,3,5
Wednesday,04,вечер,False,бизнес,275,near,1,Johnson-West,beautiful,15,Облачно,14,True,True,False,47,75,173,381,2,3
Tuesday,10,день,True,бизнес,240,glass,4,Martin-Evans,part,15,Облачно,9,True,False,False,60,18,72,816,5,5
Tuesday,01,утро,False,эконом,24,become,21,"Robinson, Matthews and Bates",seven,16,Дождь,32,False,True,False,161,178,132,672,4,5
Sunday,09,ночь,True,эконом,193,interesting,2,Bell-Holmes,structure,-2,Снег,29,True,True,False,157,184,179,416,2,1
Friday,08,утро,True,эконом,27,of,22,Butler Ltd,particularly,10,Облачно,46,True,False,False,140,109,70,584,1,5
Saturday,09,день,False,первый класс,158,own,23,Evans PLC,my,4,Облачно,7,True,True,False,67,77,26,148,4,5
Monday,04,утро,False,первый класс,255,note,15,"Davis, Aguirre and Johnson",base,-7,Солнечно,50,False,True,False,51,141,116,639,5,5
Friday,10,утро,False,первый класс,26,serve,12,Ruiz-Harris,possible,-16,Дождь,37,False,False,False,37,183,290,421,3,5
Sunday,01,вечер,True,первый класс,84,figure,11,Martinez Group,beat,-9,Облачно,29,False,False,False,96,41,133,982,3,4
Friday,12,ночь,False,эконом,222,list,18,"Manning, Terrell and Mendoza",thank,-13,Дождь,31,True,False,True,16,174,147,642,5,4
Friday,03,ночь,True,бизнес,68,majority,1,Miller-Robertson,feel,5,Дождь,23,False,False,True,51,20,109,302,2,2
Tuesday,05,утро,False,первый класс,134,paper,20,Burns and Sons,house,-16,Облачно,21,False,True,True,167,197,115,526,5,2
Tuesday,01,день,False,эконом,177,bed,15,Smith PLC,control,4,Облачно,34,True,True,False,159,52,109,393,5,4
Sunday,08,утро,False,эконом,121,claim,3,"King, Carpenter and Washington",increase,-6,Солнечно,46,True,True,True,176,180,210,133,1,4
Tuesday,12,утро,True,эконом,281,data,7,Perkins-Bowers,college,-4,Солнечно,14,False,False,True,147,90,147,497,5,1
Saturday,07,утро,False,бизнес,176,remember,17,Johnson-Long,visit,23,Дождь,46,False,False,False,49,11,51,114,3,4
Friday,05,день,False,бизнес,139,economic,18,Robinson PLC,long,14,Солнечно,2,True,False,True,71,199,49,927,1,5
Friday,04,ночь,False,первый класс,161,enough,8,Parker-Hernandez,page,30,Солнечно,31,True,False,True,160,3,191,765,2,1
Thursday,02,ночь,False,первый класс,53,politics,2,Anderson and Sons,sport,7,Дождь,20,False,True,False,41,131,39,302,1,2
Tuesday,06,утро,True,эконом,73,computer,10,Clark-Lyons,focus,25,Дождь,49,False,False,False,134,136,116,173,1,2
Friday,09,вечер,True,бизнес,107,president,1,Callahan Ltd,scene,13,Облачно,0,True,True,True,131,165,220,662,1,4
Wednesday,05,утро,False,бизнес,273,whole,2,"Williams, Waters and James",piece,39,Солнечно,8,False,True,False,80,57,30,653,2,3
Tuesday,06,утро,True,первый класс,158,American,4,Woodard-White,wear,38,Облачно,33,False,True,False,130,40,82,972,4,4
Saturday,11,ночь,False,бизнес,235,protect,13,Brooks Inc,exist,30,Облачно,22,False,False,True,30,169,292,271,1,5
Friday,11,вечер,True,бизнес,94,explain,23,"Drake, Howell and Montgomery",stop,7,Снег,40,False,True,False,75,19,250,864,4,5
Saturday,01,ночь,True,первый класс,197,phone,3,Lawrence PLC,my,31,Снег,5,True,True,True,79,112,25,326,5,4
Tuesday,06,вечер,False,эконом,263,policy,6,"Larson, Thompson and Blevins",finish,20,Солнечно,31,False,True,True,151,83,173,989,3,2
Wednesday,08,день,True,первый класс,17,their,13,Nguyen LLC,argue,30,Солнечно,46,False,False,True,24,126,16,247,3,3
Monday,08,день,True,первый класс,167,interview,6,Murphy-Nunez,tend,34,Дождь,10,False,True,False,43,149,53,676,3,4
Friday,11,вечер,True,первый класс,113,religious,19,Cruz-Russell,trip,19,Снег,7,True,True,True,39,193,295,876,5,5
Wednesday,05,утро,False,бизнес,151,fish,18,"Ellis, Christensen and Warner",answer,-18,Облачно,26,False,False,False,186,119,274,729,5,2
Wednesday,05,ночь,True,бизнес,97,attorney,20,Terry LLC,home,25,Солнечно,10,False,True,False,162,86,19,653,3,4
Wednesday,02,утро,False,бизнес,151,ball,15,Henson PLC,popular,16,Солнечно,2,True,True,True,154,175,32,244,5,2
Friday,10,утро,False,бизнес,107,decide,18,Osborne-Stewart,exactly,37,Снег,21,True,False,False,18,173,252,382,5,5
Saturday,11,ночь,False,эконом,180,property,9,Hughes-Wood,leg,-18,Солнечно,45,True,False,False,45,116,237,785,3,1
Monday,02,утро,False,эконом,154,look,3,Miranda PLC,yet,1,Облачно,34,False,True,True,183,90,288,714,5,2
Tuesday,05,утро,True,эконом,170,character,5,Daniels Inc,wife,-19,Дождь,34,True,True,False,114,77,41,433,2,5
Sunday,03,ночь,False,бизнес,254,draw,7,"Mccullough, Garcia and Wilson",according,28,Снег,49,True,False,True,41,132,271,665,3,5
Thursday,07,ночь,True,бизнес,55,side,24,Huang-Nelson,question,21,Солнечно,41,True,False,True,200,48,135,742,3,1
Wednesday,08,утро,False,эконом,151,follow,19,Stewart Inc,Democrat,37,Солнечно,40,False,True,True,126,167,72,309,2,2
Wednesday,02,день,False,бизнес,199,leader,21,Hernandez PLC,describe,-7,Солнечно,22,True,True,True,9,16,202,839,1,3
Sunday,02,утро,True,первый класс,115,before,4,Santiago-Moreno,game,-15,Дождь,38,False,True,True,50,194,22,328,3,5
Saturday,02,ночь,False,первый класс,85,like,1,Thomas Inc,leg,-11,Солнечно,8,True,False,False,76,40,282,508,3,2
Thursday,07,вечер,False,первый класс,149,station,18,"Sutton, Brown and Lawrence",have,-1,Солнечно,22,False,True,True,160,150,174,900,3,1
Friday,08,утро,True,бизнес,104,might,22,Leon-Hogan,speech,-1,Дождь,13,False,True,False,77,168,249,725,2,2
Saturday,06,ночь,False,бизнес,78,next,15,"Cook, Allen and Nguyen",return,22,Снег,39,True,False,True,18,141,275,419,2,5
Monday,05,день,False,первый класс,203,character,17,Morales-Ruiz,director,25,Дождь,33,False,False,True,139,180,84,987,3,2
Tuesday,11,день,True,эконом,254,evening,6,Rivas and Sons,machine,24,Дождь,14,True,True,True,189,81,182,242,4,4
Wednesday,10,день,True,бизнес,266,agent,11,Edwards-Smith,human,38,Солнечно,49,True,True,True,189,62,14,707,2,5
Wednesday,01,ночь,False,бизнес,153,eat,3,Hamilton Inc,those,38,Снег,20,False,False,True,129,84,157,984,4,2
Monday,04,ночь,True,бизнес,248,week,18,Morgan-Phillips,all,23,Облачно,25,True,False,False,150,157,170,892,3,2
Thursday,02,вечер,True,первый класс,192,sense,18,Baker-Elliott,all,0,Дождь,47,True,False,True,103,190,278,368,2,4
Tuesday,08,ночь,True,первый класс,5,idea,5,"Dunn, Middleton and Colon",usually,-2,Снег,7,True,True,True,197,167,223,120,2,2
Monday,03,вечер,False,первый класс,15,me,4,"Christensen, Simmons and Roman",wonder,-16,Снег,26,True,False,False,12,140,95,460,4,5
Monday,12,утро,True,эконом,153,collection,9,Brooks-Martinez,son,-2,Облачно,10,False,False,True,109,91,241,814,2,1
Friday,01,вечер,True,первый класс,251,scientist,11,Parker-Williams,usually,-11,Дождь,7,True,True,False,149,79,99,419,5,2
Friday,07,утро,True,первый класс,201,alone,4,"Mitchell, Walker and Tucker",middle,2,Солнечно,49,True,False,True,6,4,115,602,2,1
Tuesday,11,день,False,первый класс,75,action,23,"Hutchinson, Ruiz and Nelson",pay,32,Солнечно,12,True,False,False,88,102,153,964,3,5
Sunday,07,вечер,True,первый класс,131,cost,8,"Mcgee, Berry and Oliver",after,24,Солнечно,16,True,True,False,137,191,286,416,4,1
Friday,11,ночь,True,эконом,284,guess,12,Garcia and Sons,pattern,16,Дождь,40,False,True,True,111,166,58,292,5,2
Monday,02,ночь,False,бизнес,92,high,20,"Allen, Sosa and Hernandez",ask,28,Солнечно,13,False,True,True,119,155,29,287,4,3
Wednesday,02,утро,False,первый класс,19,threat,16,Sanchez-White,investment,17,Дождь,19,True,False,True,182,19,137,514,4,5
Saturday,07,вечер,True,бизнес,153,road,10,Sutton-Williams,lot,19,Облачно,42,False,False,False,32,9,213,440,1,2
Tuesday,10,день,False,первый класс,114,right,22,Lowe and Sons,sister,20,Дождь,33,False,False,False,123,69,125,994,4,4
Thursday,02,день,True,эконом,184,blood,10,Burke-Floyd,white,-5,Дождь,35,False,True,True,3,93,83,774,3,2
Wednesday,03,ночь,False,эконом,261,old,9,Leonard and Sons,oil,35,Снег,43,True,True,False,141,90,293,691,4,4
Saturday,11,вечер,True,бизнес,274,example,1,"Rios, Ellis and Solis",administration,1,Дождь,20,False,False,True,197,60,59,340,1,3
Friday,02,день,True,эконом,245,lawyer,4,Mcdaniel Ltd,fear,-11,Снег,5,True,True,False,187,170,109,431,2,1
Saturday,03,утро,False,бизнес,251,clearly,6,Vincent-Harrison,many,26,Снег,40,False,False,True,131,61,34,863,1,1
Thursday,10,вечер,False,эконом,240,term,12,"Reilly, Osborn and Hoffman",memory,-12,Дождь,43,True,True,False,86,174,210,713,4,4
Friday,09,ночь,False,эконом,8,institution,17,"Watson, Jordan and Anthony",knowledge,33,Облачно,44,False,True,True,56,74,235,921,4,4
Wednesday,04,утро,True,бизнес,89,whom,6,Allen-Holmes,want,30,Дождь,1,False,True,True,140,48,252,885,1,3
Friday,11,день,True,бизнес,261,green,21,Moore-Green,traditional,-3,Снег,19,True,True,False,46,115,272,963,1,1
Sunday,10,утро,False,эконом,207,happy,16,"Brown, Carson and Perez",area,12,Снег,49,False,True,True,83,149,82,725,1,4
Saturday,01,ночь,True,бизнес,60,soldier,1,"Page, Frazier and Frazier",recently,17,Дождь,20,False,True,False,84,75,57,1000,2,1
Thursday,09,ночь,False,эконом,3,here,16,"Sullivan, Patterson and Ochoa",nice,16,Облачно,20,False,False,True,98,136,182,732,3,4
Sunday,07,день,True,бизнес,55,team,16,Terry LLC,executive,26,Дождь,39,False,False,True,174,49,144,934,5,5
Monday,06,утро,True,эконом,102,end,20,Mccullough PLC,expect,31,Дождь,27,True,True,True,123,142,56,546,1,3
Tuesday,07,день,False,эконом,203,cultural,16,Snyder and Sons,mouth,37,Снег,45,False,False,False,119,83,16,471,4,2
Thursday,08,день,False,эконом,250,think,2,"Jacobs, Hess and Jones",party,14,Облачно,41,True,False,True,69,83,277,449,4,1
Wednesday,10,утро,True,бизнес,225,deep,8,Cooper PLC,market,14,Дождь,44,True,True,True,52,82,275,979,2,4
Sunday,12,ночь,True,бизнес,213,industry,14,Moss-Chung,effort,33,Облачно,12,True,False,True,67,135,110,128,5,2
Monday,06,день,True,эконом,130,risk,4,Cook-Snyder,case,26,Солнечно,33,True,False,True,187,195,295,202,2,4
Monday,10,день,True,эконом,64,threat,16,Stout Ltd,store,-13,Дождь,7,True,True,False,138,153,168,809,1,2
Saturday,12,утро,True,эконом,265,strategy,9,"Colon, Barrera and Maldonado",military,14,Солнечно,49,True,True,False,53,117,9,728,3,2
Thursday,01,день,True,первый класс,245,everything,18,"Sanders, Johnson and Campos",thing,27,Снег,13,True,True,False,2,93,54,306,4,5
Wednesday,12,ночь,False,первый класс,142,live,15,Park Ltd,why,2,Дождь,29,False,False,True,155,181,275,795,4,1
Friday,12,день,True,первый класс,30,generation,6,"Hopkins, Gibson and Marshall",personal,-10,Солнечно,30,False,True,True,167,97,123,538,2,3
Tuesday,08,ночь,True,эконом,243,real,18,Boyle Inc,spend,2,Облачно,3,True,True,True,140,46,74,409,3,4
Wednesday,11,ночь,True,бизнес,174,those,3,Johnson LLC,grow,21,Облачно,18,False,False,True,181,116,107,990,2,2
Sunday,03,ночь,True,первый класс,24,well,16,Ramirez-Winters,total,-9,Солнечно,49,True,False,False,78,72,52,653,5,3
Friday,07,ночь,False,эконом,174,stock,18,"Watson, Nguyen and Vazquez",west,26,Дождь,14,False,False,False,183,200,92,259,5,1
Monday,06,ночь,False,первый класс,44,American,4,Cervantes-Mills,executive,21,Снег,50,False,True,True,136,55,192,204,5,3
Thursday,01,ночь,True,первый класс,211,young,5,"Johnson, Bailey and Brown",receive,-7,Облачно,26,True,False,True,190,137,53,948,2,5
Friday,06,вечер,False,эконом,284,enjoy,12,Ryan-Chen,lawyer,8,Солнечно,8,True,False,True,59,173,276,341,2,1
Saturday,08,вечер,True,эконом,122,one,4,Horton Group,who,31,Облачно,46,False,True,False,1,197,32,712,3,1
Thursday,01,ночь,True,эконом,107,my,24,"Jones, Obrien and Mitchell",experience,26,Облачно,18,True,False,False,31,114,247,690,1,5
Sunday,01,вечер,True,первый класс,220,help,12,Kelley and Sons,range,32,Солнечно,25,False,False,False,152,122,247,623,5,1
Wednesday,07,вечер,True,бизнес,21,president,13,Ayala-Sandoval,at,-17,Снег,25,False,False,True,110,71,245,208,4,4
Thursday,12,ночь,True,первый класс,6,nothing,21,Smith-Wilson,here,-16,Облачно,10,False,True,True,0,167,146,408,1,4
Thursday,07,утро,False,бизнес,270,system,2,Savage Group,toward,-17,Дождь,4,False,False,True,187,187,91,252,1,3
Sunday,11,вечер,False,бизнес,76,stock,19,Friedman Inc,question,28,Снег,18,False,False,False,71,161,260,755,2,4
Wednesday,04,вечер,False,эконом,54,argue,5,Lambert-Weaver,source,-18,Снег,3,False,True,True,54,133,141,728,4,2
Sunday,12,день,True,бизнес,195,civil,8,"Graves, Munoz and Bell",interesting,15,Солнечно,38,False,True,False,124,198,66,419,1,5
Thursday,03,ночь,False,эконом,261,sort,12,Ford PLC,teacher,22,Солнечно,29,True,True,True,30,62,117,932,3,4
Tuesday,10,утро,False,первый класс,140,win,24,"Church, Lyons and Long",way,-9,Дождь,47,False,False,False,78,67,269,775,5,5
Monday,03,ночь,False,эконом,144,indeed,4,"Davis, Harvey and Elliott",way,29,Дождь,38,False,False,False,99,6,151,298,1,5
Thursday,01,ночь,True,бизнес,287,follow,24,"Wells, Parker and Day",live,33,Дождь,44,True,True,True,177,56,83,887,5,2
Wednesday,12,вечер,True,бизнес,175,area,1,Turner and Sons,similar,6,Облачно,45,False,True,True,87,129,45,713,3,5
Thursday,04,день,True,эконом,146,week,23,"Jones, Cummings and Davis",identify,35,Снег,15,False,False,True,56,45,57,858,5,4
Sunday,06,день,True,бизнес,184,meet,12,Davis Group,national,28,Облачно,23,False,True,True,95,173,125,305,5,4
Thursday,06,день,False,бизнес,70,subject,19,"Higgins, Wilson and Shaw",beautiful,31,Солнечно,24,True,True,False,118,143,260,223,4,1
Sunday,09,день,False,эконом,14,investment,11,"Smith, Weiss and Hancock",prove,19,Дождь,28,False,True,False,196,1,115,709,3,5
Saturday,05,ночь,False,эконом,287,church,22,Oliver-Harrell,play,10,Снег,14,False,False,True,0,6,273,138,1,5
Monday,12,вечер,True,бизнес,60,believe,21,Harper Ltd,writer,5,Солнечно,0,True,False,False,182,46,247,419,4,2
Saturday,01,вечер,True,бизнес,114,likely,15,Garza-Taylor,something,14,Солнечно,24,False,False,False,64,35,284,649,4,1
Sunday,06,вечер,False,первый класс,219,until,24,Keith Ltd,civil,11,Дождь,24,False,True,True,153,20,115,963,4,1
Tuesday,11,день,False,бизнес,256,cup,23,Bright Ltd,support,-19,Облачно,22,False,True,True,129,63,25,734,5,2
Saturday,10,утро,True,первый класс,39,guy,12,"Mitchell, Compton and Blackwell",thousand,-11,Дождь,45,True,True,True,83,199,137,705,3,4
Monday,01,ночь,False,бизнес,43,audience,2,Perez-Reyes,source,-4,Снег,2,False,False,False,26,44,56,865,4,1
Sunday,06,день,False,бизнес,4,old,24,Jones Inc,home,-5,Облачно,21,True,True,False,1,144,31,438,1,3
Wednesday,09,ночь,False,первый класс,233,behind,13,"Hunt, Garcia and Bailey",beyond,-14,Облачно,3,True,False,True,115,27,22,634,3,1
Sunday,04,день,True,эконом,124,give,13,"Rosales, Parker and Mayer",member,29,Солнечно,28,True,True,True,122,188,276,531,5,5
Monday,04,утро,False,эконом,153,interesting,17,Stevenson and Sons,simple,8,Облачно,24,False,True,False,66,8,39,594,2,2
Monday,05,утро,False,бизнес,58,single,16,Turner-Rangel,build,-15,Облачно,31,True,True,False,61,153,295,923,4,3
Monday,04,вечер,True,первый класс,159,onto,22,"Rivera, Valenzuela and Perez",already,26,Облачно,33,True,True,False,196,40,85,103,4,5
Friday,08,вечер,True,эконом,117,fund,4,Singleton-Moore,song,37,Дождь,10,True,True,True,127,37,223,158,4,4
Monday,07,день,True,эконом,226,upon,18,"Howell, Gibbs and Hall",both,0,Солнечно,49,True,True,False,87,69,230,872,3,3
Sunday,05,утро,True,эконом,241,mother,8,"Newton, Goodman and Reynolds",life,37,Солнечно,15,True,False,True,29,147,128,155,1,1
Friday,02,утро,True,эконом,270,yes,16,Washington Ltd,color,-11,Солнечно,22,False,False,True,34,82,65,729,1,1
Thursday,09,ночь,True,первый класс,109,perhaps,15,Mcclure Inc,production,29,Снег,41,True,False,True,17,164,233,492,2,2
Sunday,11,утро,True,эконом,189,month,18,"Wheeler, Russell and Hernandez",foreign,-15,Дождь,24,True,True,True,99,140,183,918,4,5
Sunday,02,вечер,True,бизнес,268,significant,20,Rodriguez and Sons,national,23,Снег,49,True,False,False,183,143,254,652,5,5
Saturday,10,вечер,False,эконом,52,many,1,Morgan and Sons,whose,-2,Солнечно,23,False,False,True,86,21,46,889,3,5
Saturday,05,вечер,False,первый класс,41,candidate,4,"Wheeler, Johnson and Owens",shake,14,Дождь,37,True,False,True,151,138,99,897,4,4
Friday,01,ночь,False,первый класс,216,idea,22,Blake-Cox,government,40,Снег,12,True,True,False,45,155,105,690,4,2
Wednesday,04,вечер,False,первый класс,158,discussion,22,"Murillo, Bentley and Buckley",major,-13,Снег,15,False,True,True,39,126,6,742,1,1
Thursday,02,вечер,False,эконом,223,ask,3,Miller-Barker,event,21,Солнечно,1,True,False,True,196,135,205,141,2,2
Thursday,01,день,False,эконом,211,soon,5,Bailey-Mitchell,learn,36,Дождь,1,True,True,False,160,102,34,882,1,2
Sunday,01,ночь,True,первый класс,16,treatment,19,"Malone, Pierce and Miller",fear,22,Дождь,44,True,True,False,103,77,249,644,2,3
Sunday,12,утро,True,бизнес,23,indeed,4,Kline-Davis,in,1,Дождь,17,True,False,True,118,103,276,331,1,4
Saturday,02,вечер,False,бизнес,0,color,22,Orozco-Hurley,suddenly,33,Солнечно,20,True,False,True,77,59,193,305,4,5
Wednesday,05,вечер,True,эконом,164,me,2,Nichols-Edwards,line,2,Дождь,9,False,False,True,85,32,218,303,4,1
Saturday,02,день,False,эконом,39,clearly,13,Salazar Ltd,pretty,30,Солнечно,22,False,True,False,111,126,255,873,5,4
Wednesday,04,день,True,бизнес,21,time,14,Stevens-Gaines,great,-13,Снег,13,True,True,True,184,98,101,368,4,3
Tuesday,07,день,True,эконом,276,indeed,12,"Ruiz, Cole and Fowler",else,20,Облачно,19,False,True,False,153,190,119,893,5,5
Saturday,07,день,False,первый класс,175,them,6,Jackson Ltd,whom,27,Солнечно,35,False,False,True,179,135,98,180,1,3
Saturday,08,день,False,бизнес,55,front,4,Mcknight-Tanner,final,-11,Дождь,1,False,True,True,77,86,262,322,4,1
Tuesday,10,утро,False,бизнес,25,voice,4,Lewis-Mann,again,31,Облачно,20,True,False,True,35,29,37,131,4,3
